"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] SongArtistsComparatorMaximumOfContainment record1Value","[0] SongArtistsComparatorMaximumOfContainment record2Value","[0] SongArtistsComparatorMaximumOfContainment record1PreprocessedValue","[0] SongArtistsComparatorMaximumOfContainment record2PreprocessedValue","[0] SongArtistsComparatorMaximumOfContainment similarity","[0] SongArtistsComparatorMaximumOfContainment postproccesedSimilarity","[1] SongTrackAnomalityComparatorLevenshteinSimilarity record1Value","[1] SongTrackAnomalityComparatorLevenshteinSimilarity record2Value","[1] SongTrackAnomalityComparatorLevenshteinSimilarity record1PreprocessedValue","[1] SongTrackAnomalityComparatorLevenshteinSimilarity record2PreprocessedValue","[1] SongTrackAnomalityComparatorLevenshteinSimilarity similarity","[1] SongTrackAnomalityComparatorLevenshteinSimilarity postproccesedSimilarity","[2] SongDateComparator2Years record1Value","[2] SongDateComparator2Years record2Value","[2] SongDateComparator2Years record1PreprocessedValue","[2] SongDateComparator2Years record2PreprocessedValue","[2] SongDateComparator2Years similarity","[2] SongDateComparator2Years postproccesedSimilarity","[3] AlbumTitleComparatorLevenshtein record1Value","[3] AlbumTitleComparatorLevenshtein record2Value","[3] AlbumTitleComparatorLevenshtein record1PreprocessedValue","[3] AlbumTitleComparatorLevenshtein record2PreprocessedValue","[3] AlbumTitleComparatorLevenshtein similarity","[3] AlbumTitleComparatorLevenshtein postproccesedSimilarity"
"WekaMatchingRule","deezer_6734","musico_8051","4.18561511698682E-4",,"bikini kill","glen campbell","bikini kill","glen campbell","0.0","0.0","sugar","sunflower","sugar","sunflower","0.33333333333333337","0.33333333333333337","2015-02-23T00:00","1977-01-01T00:00","2015-02-23T00:00","1977-01-01T00:00","0.0","0.0",,,"pussy whipped","southern nights","0.1333333333333333","0.1333333333333333"
"WekaMatchingRule","deezer_6624","musico_667",,"0","ace of base","drake","ace of base","drake","0.0","0.0","beautiful life","redemption","beautiful life","redemption","0.1428571428571429","0.1428571428571429","2008-11-14T00:00","2016-05-06T00:00","2008-11-14T00:00","2016-05-06T00:00","0.0","0.0",,,"greatest hits","views","0.15384615384615385","0.15384615384615385"
"WekaMatchingRule","deezer_3774","musico_2497","0.008949500884738391",,"school of fish","papa roach","school of fish","papa roach","0.0","0.0","fountain","forever","fountain","forever","0.25","0.25","2006-10-24T00:00","2006-01-01T00:00","2006-10-24T00:00","2006-01-01T00:00","1.0","1.0",,,"human cannonball","the paramour sessions","0.09523809523809523","0.09523809523809523"
"WekaMatchingRule","deezer_2853","musico_2447","2.5507561938782023E-4",,"weezer","avril lavigne","weezer","avril lavigne","0.0","0.0","holiday","hot","holiday","hot","0.2857142857142857","0.2857142857142857","1994-05-10T00:00","2007-04-17T00:00","1994-05-10T00:00","2007-04-17T00:00","0.0","0.0",,,"weezer","the best damn thing expanded edition","0.08333333333333337","0.08333333333333337"
"WekaMatchingRule","deezer_17718","musico_5666","5.429998594418769E-4",,"rosalía","u2","rosalía","u2","0.0","0.0","despechá","desire","despechá","desire","0.375","0.375","2022-07-28T00:00","1988-10-10T00:00","2022-07-28T00:00","1988-10-10T00:00","0.0","0.0",,,"despechá","rattle and hum","0.1428571428571429","0.1428571428571429"
"WekaMatchingRule","deezer_4727","musico_3864","0.0011598452345571806",,"roy orbison","the goo goo dolls","roy orbison","the goo goo dolls","0.0","0.0","blue bayou","black balloon","blue bayou","black balloon","0.46153846153846156","0.46153846153846156","2010-04-26T00:00","1998-09-11T00:00","2010-04-26T00:00","1998-09-11T00:00","0.0","0.0",,,"les 100 plus grands titres country","dizzy up the girl","0.20588235294117652","0.20588235294117652"
"WekaMatchingRule","deezer_18693","musico_1976","2.2789442868150536E-4",,"prince","lady gaga","prince","lady gaga","0.0","0.0","partyman","paparazzi","partyman","paparazzi","0.2222222222222222","0.2222222222222222","1989-06-20T00:00","2008-01-01T00:00","1989-06-20T00:00","2008-01-01T00:00","0.0","0.0",,,"batman","the fame","0.125","0.125"
"WekaMatchingRule","deezer_15305","musico_854","6.80440310956869E-4",,"j balvin","ed sheeran","j balvin","ed sheeran","0.0","0.0","downtown","don't","downtown","dont","0.375","0.375","2017-11-19T00:00","2014-06-21T00:00","2017-11-19T00:00","2014-06-21T00:00","0.0","0.0",,,"downtown","x deluxe edition","0.1875","0.1875"
"WekaMatchingRule","deezer_4858","musico_1353","0.5001460560296216","1","hothouse flowers","dierks bentley","hothouse flowers","dierks bentley","0.0","0.0","home","home","home","home","1.0","1.0","1990-05-30T00:00","2012-01-01T00:00","1990-05-30T00:00","2012-01-01T00:00","0.0","0.0",,,"home","home","1.0","1.0"
"WekaMatchingRule","deezer_14928","musico_578","0.9143046938341629","1","keith urban","keith urban","keith urban","keith urban","1.0","1.0","john cougar, john deere, john 3:16","john cougar, john deere, john 3:16","john cougar john deere john 316","john cougar john deere john 316","1.0","1.0","2015-06-09T00:00","2016-12-16T00:00","2015-06-09T00:00","2016-12-16T00:00","0.0","0.0",,,"ripcord","ripcord","1.0","1.0"
"WekaMatchingRule","deezer_13162","musico_11118","0.0017260108367464402",,"fiona apple","jagged edge","fiona apple","jagged edge","0.0","0.0","the way things are","the way that you talk","the way things are","the way that you talk","0.5714285714285714","0.5714285714285714","2011-04-08T00:00","1997-10-21T00:00","2011-04-08T00:00","1997-10-21T00:00","0.0","0.0",,,"original album classics","a jagged era","0.17391304347826086","0.17391304347826086"
